iata,flight_traffic
AAE,18
AAL,41
AAN,4
AAQ,6
AAR,16
AAT,4
AAX,2
AAY,3
ABA,8
ABD,12
ABE,26
ABI,4
ABJ,101
ABL,8
ABM,2
ABQ,83
ABR,2
ABS,2
ABT,6
ABV,56
ABX,8
ABY,8
ABZ,82
ACA,17
ACC,107
ACE,233
ACH,4
ACI,4
ACK,12
ACR,4
ACT,4
ACU,2
ACV,6
ACX,12
ACY,20
ACZ,2
ADA,34
ADB,133
ADD,214
ADE,44
ADF,4
ADK,2
ADL,102
ADQ,17
ADU,6
ADZ,22
AEB,6
AEP,128
AER,52
AES,26
AET,5
AEX,12
AEY,2
AFA,4
AFL,2
AFZ,2
AGA,56
AGB,2
AGF,4
AGH,6
AGM,2
AGN,2
AGP,410
AGR,4
AGS,14
AGT,8
AGU,18
AGX,2
AHB,29
AHE,5
AHN,2
AHO,62
AHU,2
AIA,6
AIN,4
AIT,5
AIU,3
AJA,78
AJF,4
AJI,4
AJL,12
AJR,4
AJU,26
AKB,2
AKF,6
AKI,6
AKJ,14
AKK,2
AKL,213
AKN,14
AKP,7
AKU,11
AKV,4
AKX,14
AKY,6
ALA,134
ALB,60
ALC,314
ALF,20
ALG,170
ALH,6
ALO,4
ALS,12
ALW,2
AMA,19
AMD,64
AMH,3
AMM,219
AMQ,28
AMS,903
ANC,118
ANF,22
ANG,2
ANI,25
ANM,6
ANR,4
ANS,2
ANU,69
ANV,6
ANX,7
AOE,2
AOG,6
AOI,20
AOJ,10
AOK,13
AOO,4
AOR,10
AOS,2
APF,2
APL,18
APN,4
APO,8
APW,11
AQA,2
AQG,14
AQI,4
AQJ,4
AQP,20
ARC,2
ARH,18
ARI,9
ARK,2
ARM,4
ARN,438
ART,8
ARU,4
ARW,2
ASB,30
ASE,4
ASF,16
ASJ,4
ASM,15
ASO,3
ASP,24
ASR,15
ASU,36
ASV,3
ASW,8
ATA,2
ATC,4
ATD,2
ATH,403
ATK,4
ATL,1826
ATM,7
ATQ,18
ATT,4
ATW,18
ATY,6
ATZ,12
AUA,90
AUC,4
AUG,2
AUH,473
AUK,4
AUQ,8
AUR,2
AUS,167
AUU,4
AUX,8
AUY,2
AVA,8
AVL,24
AVN,4
AVP,19
AVV,2
AWD,4
AWZ,48
AXA,12
AXD,6
AXK,2
AXM,4
AXP,4
AXR,2
AXT,16
AXU,4
AYP,4
AYQ,8
AYT,253
AZA,64
AZD,14
AZI,8
AZN,6
AZO,12
AZR,11
AZS,12
BAH,170
BAL,6
BAQ,20
BAV,58
BAX,6
BAY,4
BAZ,2
BBA,8
BBI,15
BBK,8
BBN,4
BBO,15
BCD,12
BCI,2
BCN,783
BCV,8
BDA,30
BDB,4
BDH,4
BDJ,29
BDL,103
BDO,42
BDP,2
BDQ,10
BDS,44
BDU,2
BEB,4
BEG,169
BEJ,6
BEL,68
BEN,50
BES,34
BET,57
BEU,4
BEW,14
BEY,133
BFD,4
BFF,2
BFI,4
BFJ,16
BFL,12
BFN,8
BFQ,2
BFS,70
BFV,2
BGA,10
BGF,6
BGG,4
BGI,46
BGM,8
BGO,137
BGR,16
BGW,28
BGY,162
BHB,2
BHD,42
BHE,6
BHH,6
BHI,8
BHJ,4
BHK,13
BHM,71
BHO,14
BHQ,8
BHR,2
BHS,4
BHU,4
BHV,11
BHX,264
BHY,40
BIA,72
BIK,8
BIL,24
BIM,4
BIO,128
BIQ,28
BIR,2
BIS,12
BJA,12
BJB,2
BJF,8
BJI,2
BJL,26
BJM,27
BJR,3
BJV,63
BJX,29
BJZ,4
BKC,8
BKG,8
BKI,104
BKK,654
BKM,2
BKO,55
BKQ,3
BKS,10
BKW,3
BKY,4
BKZ,2
BLA,22
BLD,2
BLE,4
BLI,20
BLJ,8
BLK,18
BLL,94
BLQ,176
BLR,185
BLV,2
BLZ,10
BMA,54
BME,24
BMI,24
BMU,6
BMV,14
BMW,2
BMY,3
BNA,164
BNB,2
BNC,4
BND,38
BNE,294
BNI,4
BNK,10
BNN,10
BNS,4
BNX,6
BNY,4
BOB,12
BOC,5
BOD,134
BOG,307
BOH,38
BOI,41
BOJ,24
BOM,442
BON,18
BOO,35
BOS,422
BOY,4
BPL,2
BPN,72
BPS,21
BPT,4
BPX,6
BQB,6
BQK,6
BQL,4
BQN,8
BQS,10
BRA,12
BRC,14
BRD,4
BRE,100
BRI,100
BRL,4
BRM,10
BRN,24
BRO,6
BRQ,2
BRR,2
BRS,200
BRU,630
BRW,13
BSA,8
BSB,197
BSC,2
BSD,4
BSG,4
BSK,8
BSL,189
BSO,4
BSR,16
BTH,54
BTI,4
BTJ,10
BTK,8
BTM,2
BTR,16
BTS,40
BTT,9
BTU,14
BTV,27
BUA,8
BUC,4
BUD,195
BUF,71
BUN,4
BUQ,8
BUR,36
BUS,12
BUW,2
BUX,4
BUZ,10
BVA,120
BVB,6
BVC,28
BVE,11
BVG,8
BVH,2
BVI,4
BVS,1
BVV,2
BWA,2
BWI,286
BWK,2
BWN,46
BWT,6
BXB,2
BXR,2
BXU,8
BYC,8
BYN,4
BYO,2
BZE,54
BZG,6
BZL,2
BZN,16
BZO,4
BZR,18
BZV,49
CAB,5
CAC,6
CAE,34
CAG,86
CAH,2
CAI,303
CAJ,2
CAK,43
CAL,2
CAN,672
CAP,6
CAW,7
CAY,14
CBB,17
CBH,2
CBO,6
CBQ,4
CBR,26
CBT,4
CCC,14
CCF,20
CCJ,61
CCK,2
CCM,4
CCP,11
CCS,179
CCU,188
CCV,7
CDB,10
CDC,2
CDG,1041
CDJ,2
CDR,6
CDV,6
CEB,97
CEC,4
CED,2
CEE,14
CEG,4
CEI,22
CEK,40
CEM,2
CEN,10
CEZ,2
CFB,6
CFC,4
CFE,18
CFN,4
CFR,8
CFS,8
CFU,103
CGA,10
CGB,66
CGD,16
CGH,94
CGI,2
CGK,367
CGM,2
CGN,265
CGO,348
CGP,32
CGQ,131
CGR,34
CGY,14
CHA,32
CHC,72
CHG,6
CHO,26
CHQ,90
CHS,69
CHU,2
CHX,2
CHY,3
CIA,100
CIC,2
CID,35
CIF,30
CIH,32
CIJ,5
CIK,4
CIP,2
CIT,20
CIU,2
CIX,2
CIY,16
CIZ,2
CJA,4
CJB,32
CJC,13
CJJ,18
CJL,4
CJM,2
CJS,24
CJU,118
CKB,5
CKD,3
CKG,540
CKH,4
CKS,8
CKY,36
CKZ,2
CLD,2
CLE,161
CLJ,42
CLL,6
CLM,2
CLO,57
CLQ,6
CLT,600
CLV,4
CLY,40
CMA,4
CMB,203
CME,6
CMG,2
CMH,128
CMI,8
CMN,250
CMP,1
CMU,2
CMW,6
CMX,2
CND,2
CNF,110
CNJ,10
CNM,2
CNP,4
CNS,110
CNX,95
CNY,2
COD,4
COK,114
COO,80
COQ,8
COR,26
COS,27
COU,8
CPC,2
CPD,2
CPE,4
CPH,457
CPO,8
CPR,6
CPT,84
CPV,4
CPX,2
CRA,4
CRD,14
CRI,4
CRK,26
CRL,168
CRM,4
CRP,10
CRW,21
CSG,6
CSH,2
CSK,2
CSX,377
CSY,4
CTA,233
CTC,2
CTG,24
CTL,8
CTM,2
CTS,162
CTU,647
CUC,8
CUE,6
CUF,10
CUK,12
CUL,32
CUM,2
CUN,311
CUQ,3
CUR,63
CUU,33
CUZ,22
CVG,150
CVM,4
CVU,4
CWA,10
CWB,86
CWL,63
CXB,6
CXF,2
CXH,2
CXI,8
CXJ,6
CXR,14
CYB,5
CYF,6
CYO,5
CYP,2
CYS,12
CYX,4
CYZ,2
CZE,2
CZH,4
CZJ,1
CZL,28
CZM,32
CZS,2
CZU,4
CZX,74
DAB,10
DAC,148
DAD,66
DAL,75
DAR,67
DAT,22
DAU,8
DAV,4
DAX,18
DAY,64
DBA,2
DBO,6
DBQ,4
DBV,121
DCA,388
DCM,6
DCN,4
DCY,8
DDC,10
DDG,10
DEA,5
DEB,4
DEC,4
DED,10
DEE,2
DEL,517
DEN,735
DFW,936
DGA,14
DGO,10
DGT,8
DHB,4
DHI,2
DHM,4
DHN,6
DIB,12
DIE,10
DIG,14
DIJ,2
DIK,4
DIL,8
DIN,2
DIR,6
DIU,4
DIW,2
DIY,14
DJB,12
DJE,72
DJG,3
DJJ,35
DKR,134
