airline,airline_id,source_airport,source_airport_id,destination_airport,destination_airport_id,codeshare,stops,equipment,route
2B,410,AER,2965,KZN,2990,,0,CR2,AER → KZN
2B,410,ASF,2966,KZN,2990,,0,CR2,ASF → KZN
2B,410,ASF,2966,MRV,2962,,0,CR2,ASF → MRV
2B,410,CEK,2968,KZN,2990,,0,CR2,CEK → KZN
2B,410,CEK,2968,OVB,4078,,0,CR2,CEK → OVB
2B,410,DME,4029,KZN,2990,,0,CR2,DME → KZN
2B,410,DME,4029,NBC,6969,,0,CR2,DME → NBC
2B,410,DME,4029,UUA,6160,,0,CR2,DME → UUA
2B,410,EGO,6156,KGD,2952,,0,CR2,EGO → KGD
2B,410,EGO,6156,KZN,2990,,0,CR2,EGO → KZN
2B,410,GYD,2922,NBC,6969,,0,CR2,GYD → NBC
2B,410,KGD,2952,EGO,6156,,0,CR2,KGD → EGO
2B,410,KZN,2990,AER,2965,,0,CR2,KZN → AER
2B,410,KZN,2990,ASF,2966,,0,CR2,KZN → ASF
2B,410,KZN,2990,CEK,2968,,0,CR2,KZN → CEK
2B,410,KZN,2990,DME,4029,,0,CR2,KZN → DME
2B,410,KZN,2990,EGO,6156,,0,CR2,KZN → EGO
2B,410,KZN,2990,LED,2948,,0,CR2,KZN → LED
2B,410,KZN,2990,SVX,2975,,0,CR2,KZN → SVX
2B,410,LED,2948,KZN,2990,,0,CR2,LED → KZN
2B,410,LED,2948,NBC,6969,,0,CR2,LED → NBC
2B,410,LED,2948,UUA,6160,,0,CR2,LED → UUA
2B,410,MRV,2962,ASF,2966,,0,CR2,MRV → ASF
2B,410,NBC,6969,DME,4029,,0,CR2,NBC → DME
2B,410,NBC,6969,GYD,2922,,0,CR2,NBC → GYD
2B,410,NBC,6969,LED,2948,,0,CR2,NBC → LED
2B,410,NBC,6969,SVX,2975,,0,CR2,NBC → SVX
2B,410,NJC,2972,SVX,2975,,0,CR2,NJC → SVX
2B,410,NJC,2972,UUA,6160,,0,CR2,NJC → UUA
2B,410,NUX,4364,SVX,2975,,0,CR2,NUX → SVX
2B,410,OVB,4078,CEK,2968,,0,CR2,OVB → CEK
2B,410,OVB,4078,SVX,2975,,0,CR2,OVB → SVX
2B,410,SVX,2975,KZN,2990,,0,CR2,SVX → KZN
2B,410,SVX,2975,NBC,6969,,0,CR2,SVX → NBC
2B,410,SVX,2975,NJC,2972,,0,CR2,SVX → NJC
2B,410,SVX,2975,NUX,4364,,0,CR2,SVX → NUX
2B,410,SVX,2975,OVB,4078,,0,CR2,SVX → OVB
2B,410,UUA,6160,DME,4029,,0,CR2,UUA → DME
2B,410,UUA,6160,LED,2948,,0,CR2,UUA → LED
2B,410,UUA,6160,NJC,2972,,0,CR2,UUA → NJC
2G,1654,BTK,2936,IKT,2937,,0,A81,BTK → IKT
2G,1654,BTK,2936,OVB,4078,,0,A81,BTK → OVB
2G,1654,CEK,2968,OVB,4078,,0,A81,CEK → OVB
2G,1654,HTA,2935,IKT,2937,,0,AN4,HTA → IKT
2G,1654,IKT,2937,BTK,2936,,0,A81,IKT → BTK
2G,1654,IKT,2937,HTA,2935,,0,AN4,IKT → HTA
2G,1654,IKT,2937,ODO,8944,,0,AN4,IKT → ODO
2G,1654,IKT,2937,OVB,4078,,0,A81,IKT → OVB
2G,1654,IKT,2937,UKX,6924,,0,AN4,IKT → UKX
2G,1654,IKT,2937,ULK,9026,,0,AN4,IKT → ULK
2G,1654,IKT,2937,YKS,2923,,0,A81,IKT → YKS
2G,1654,MJZ,2925,OVB,4078,,0,A81,MJZ → OVB
2G,1654,ODO,8944,IKT,2937,,0,AN4,ODO → IKT
2G,1654,OVB,4078,BTK,2936,,0,A81,OVB → BTK
2G,1654,OVB,4078,CEK,2968,,0,A81,OVB → CEK
2G,1654,OVB,4078,IKT,2937,,0,A81,OVB → IKT
2G,1654,UKX,6924,IKT,2937,,0,AN4,UKX → IKT
2G,1654,ULK,9026,IKT,2937,,0,AN4,ULK → IKT
2G,1654,YKS,2923,IKT,2937,,0,A81,YKS → IKT
2I,8359,AYP,2786,LIM,2789,,0,142,AYP → LIM
2I,8359,CUZ,2812,LIM,2789,,0,142 141,CUZ → LIM
2I,8359,CUZ,2812,PEM,2808,,0,142,CUZ → PEM
2I,8359,HUU,6067,LIM,2789,,0,141,HUU → LIM
2I,8359,IQT,2801,PCL,2781,,0,143,IQT → PCL
